""	"Gene"	"AGI_accession"	"Annotation"	"ProteinType"	"NumberOfDomains"
"638"	"AT2G01510.1"	"At2g01510"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"639"	"AT2G01554.1"	"At2g01554"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"640"	"AT2G01670.1"	"At2g01670"	"putative NUDIX hydrolase (AtNUDX17/AtNUDT17)"	"soluble or peripheral protein"	"0"
"641"	"AT2G01740.1"	"At2g01740"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"642"	"AT2G01900.1"	"At2g01900"	"inositol polyphosphate 5-phosphatase (At5PTase9)"	"soluble or peripheral protein"	"0"
"643"	"AT2G01905.1"	"At2g01905"	"putative CYCLIN type-J18 regulatory protein of cell cycle (AtCYCJ18)"	"soluble or peripheral protein"	"0"
"644"	"AT2G01920.1"	"At2g01920"	"putative clathrin assembly protein (AtPICALM9d)"	"membrane protein"	"2"
"645"	"AT2G02050.1"	"At2g02050"	"putative component B18/NDUFB7 of NADH dehydrogenase beta subcomplex (AtB18)"	"soluble or peripheral protein"	"0"
"646"	"AT2G02150.1"	"At2g02150"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"647"	"AT2G02280.1"	"At2g02280"	"putative PhloemProtein2-type protein of unknown function (AtPP2-B4)"	"soluble or peripheral protein"	"0"
"648"	"AT2G02320.1"	"At2g02320"	"putative PhloemProtein2-type protein of unknown function (AtPP2-B7)"	"soluble or peripheral protein"	"0"
"649"	"AT2G02340.1"	"At2g02340"	"putative PhloemProtein2-type protein of unknown function (AtPP2-B8)"	"soluble or peripheral protein"	"0"
"650"	"AT2G02510.1"	"At2g02510"	"putative component B12/NDUFB3 of NADH dehydrogenase beta subcomplex (AtB12-2)"	"membrane protein"	"1"
"651"	"AT2G02550.1"	"At2g02550"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"652"	"AT2G02660.1"	"At2g02660"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"653"	"AT2G02750.1"	"At2g02750"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"654"	"AT2G02970.1"	"At2g02970"	"putative nucleoside triphosphate diphosphohydrolase/apyrase (AtAPY6)"	"membrane protein"	"3"
"655"	"AT2G03050.1"	"At2g03050"	"protein putatively involved in plastid to nucleus signalling (AtmTERF1/AtSOLDAT10)"	"soluble or peripheral protein"	"0"
"656"	"AT2G03380.1"	"At2g03380"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"657"	"AT2G03670.1"	"At2g03670"	"putative CDC48 ATP-dependent chaperone (AtCDC48b)"	"membrane protein"	"2"
"658"	"AT2G03690.1"	"At2g03690"	"putative (yeast COQ4)-like ubiquinone biosynthesis accessory protein"	"soluble or peripheral protein"	"0"
"659"	"AT2G03780.1"	"At2g03780"	"putative translin-like protein"	"soluble or peripheral protein"	"0"
"660"	"AT2G03880.1"	"At2g03880"	"putative mitochondrial RNA editing factor (AtREME1)"	"soluble or peripheral protein"	"0"
"661"	"AT2G04190.1"	"At2g04190"	"protein of unknown function, contains MATH domain"	"soluble or peripheral protein"	"0"
"662"	"AT2G04340.1"	"At2g04340"	"protein of unknown function"	"membrane protein"	"1"
"663"	"AT2G04420.1"	"At2g04420"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"664"	"AT2G04540.1"	"At2g04540"	"putative beta-ketoacyl synthase component of fatty acid synthase complex (AtmtKAS)"	"soluble or peripheral protein"	"0"
"665"	"AT2G04560.1"	"At2g04560"	"putative lipid-A-disaccharide synthetase (AtLpxB)"	"soluble or peripheral protein"	"0"
"666"	"AT2G04795.1"	"At2g04795"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"667"	"AT2G04842.1"	"At2g04842"	"putative threonyl-tRNA synthetase (AtThrRS2)"	"soluble or peripheral protein"	"0"
"668"	"AT2G04860.1"	"At2g04860"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"669"	"AT2G04900.1"	"At2g04900"	"protein of unknown function"	"membrane protein"	"4"
"670"	"AT2G04940.1"	"At2g04940"	"putative phospholipid scramblase"	"soluble or peripheral protein"	"0"
"671"	"AT2G05270.1"	"At2g05270"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"672"	"AT2G05500.1"	"At2g05500"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"673"	"AT2G05710.1"	"At2g05710"	"putative aconitase (AtACO3)"	"soluble or peripheral protein"	"0"
"674"	"AT2G05786.1"	"At2g05786"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"675"	"AT2G06025.1"	"At2g06025"	"putative GNAT-type N-acetyltransferase"	"soluble or peripheral protein"	"0"
"676"	"AT2G06420.1"	"At2g06420"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"677"	"AT2G06845.1"	"At2g06845"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"678"	"AT2G06908.1"	"At2g06908"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"679"	"AT2G07363.1"	"At2g07363"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"680"	"AT2G07667.1"	"At2g07667"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"681"	"AT2G07672.1"	"At2g07672"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"682"	"AT2G07673.1"	"At2g07673"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"683"	"AT2G07675.1"	"At2g07675"	"putative component uS12M of small subunit of mitochondrial ribosome"	"soluble or peripheral protein"	"0"
"684"	"AT2G07676.1"	"At2g07676"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"685"	"AT2G07678.1"	"At2g07678"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"686"	"AT2G07681.1"	"At2g07681"	"putative CcmC-like cytochrome c oxidase assembly factor"	"membrane protein"	"7"
"687"	"AT2G07687.1"	"At2g07687"	"putative COX3-type component of cytochrome c oxidase complex"	"membrane protein"	"7"
"688"	"AT2G07689.1"	"At2g07689"	"putative component ND2/NQO14 of NADH dehydrogenase complex"	"membrane protein"	"6"
"689"	"AT2G07695.1"	"At2g07695"	"putative subunit II of mitochondrial respiratory chain complex IV"	"soluble or peripheral protein"	"0"
"690"	"AT2G07696.1"	"At2g07696"	"putative component uS7M of small subunit of mitochondrial ribosome (AtmtRPS7b)"	"soluble or peripheral protein"	"0"
"691"	"AT2G07698.1"	"At2g07698"	"putative subunit alpha of ATP synthase peripheral MF1 subcomplex"	"soluble or peripheral protein"	"0"
"692"	"AT2G07707.1"	"At2g07707"	"putative subunit A6L of ATP synthase membrane MF0 subcomplex"	"membrane protein"	"1"
"693"	"AT2G07708.1"	"At2g07708"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"694"	"AT2G07715.1"	"At2g07715"	"putative component uL2M of large subunit of mitochondrial ribosome (AtmtRPL2.3)"	"soluble or peripheral protein"	"0"
"695"	"AT2G07718.1"	"At2g07718"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"696"	"AT2G07721.1"	"At2g07721"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"697"	"AT2G07722.1"	"At2g07722"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"698"	"AT2G07724.1"	"At2g07724"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"699"	"AT2G07727.1"	"At2g07727"	"putative cytochrome b component of cytochrome bc1 complex"	"soluble or peripheral protein"	"0"
"700"	"AT2G07732.1"	"At2g07732"	"putative large subunit of ribulose bisphosphate carboxylase complex"	"soluble or peripheral protein"	"0"
"701"	"AT2G07734.1"	"At2g07734"	"putative component uS4M of small subunit of mitochondrial ribosome (AtmtRPS4b)"	"soluble or peripheral protein"	"0"
"702"	"AT2G07738.1"	"At2g07738"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"703"	"AT2G07741.1"	"At2g07741"	"putative subunit a of ATP synthase membrane MF0 subcomplex"	"membrane protein"	"7"
"704"	"AT2G07768.1"	"At2g07768"	"putative CcmF component of CCM cytochrome c maturation system"	"membrane protein"	"2"
"705"	"AT2G07779.1"	"At2g07779"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"706"	"AT2G07785.1"	"At2g07785"	"putative NQO8/ND1-like subunit of NADH-quinone oxidoreductase complex"	"soluble or peripheral protein"	"0"
"707"	"AT2G07815.1"	"At2g07815"	"putative cytochrome c oxidase assembly protein"	"membrane protein"	"3"
"708"	"AT2G07827.1"	"At2g07827"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"709"	"AT2G07835.1"	"At2g07835"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"710"	"AT2G10965.1"	"At2g10965"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"711"	"AT2G10975.1"	"At2g10975"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"712"	"AT2G11010.1"	"At2g11010"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"713"	"AT2G11270.1"	"At2g11270"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"714"	"AT2G11271.1"	"At2g11271"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"715"	"AT2G11810.1"	"At2g11810"	"putative monogalactosyldiacylglycerol synthase (AtMGDC/AtMGD3)"	"soluble or peripheral protein"	"0"
"716"	"AT2G12200.1"	"At2g12200"	"putative formyltetrahydrofolate synthetase"	"soluble or peripheral protein"	"0"
"717"	"AT2G12280.1"	"At2g12280"	"putative formyltetrahydrofolate synthetase"	"soluble or peripheral protein"	"0"
"718"	"AT2G12905.1"	"At2g12905"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"719"	"AT2G13363.1"	"At2g13363"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"720"	"AT2G13550.1"	"At2g13550"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"721"	"AT2G13560.1"	"At2g13560"	"putative component of mitochondrial NAD-dependent malic enzyme complex (AtNAD-ME1)"	"soluble or peripheral protein"	"0"
"722"	"AT2G13600.1"	"At2g13600"	"putative mitochondrial RNA editing factor (AtSLO2)"	"soluble or peripheral protein"	"0"
"723"	"AT2G13720.1"	"At2g13720"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"724"	"AT2G14095.1"	"At2g14095"	"putative protein involved in regular development programmed cell death, EXITUS1 (AtEXI1)"	"membrane protein"	"1"
"725"	"AT2G14170.1"	"At2g14170"	"putative methylmalonate-semialdehyde dehydrogenase (AtMMSD/AtALDH6B2)"	"soluble or peripheral protein"	"0"
"726"	"AT2G14288.1"	"At2g14288"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"727"	"AT2G14860.1"	"At2g14860"	"putative PMP22/Mpv17-type protein of unknown function"	"membrane protein"	"5"
"728"	"AT2G15000.1"	"At2g15000"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"729"	"AT2G15020.1"	"At2g15020"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"730"	"AT2G15185.1"	"At2g15185"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"731"	"AT2G15310.1"	"At2g15310"	"putative ARFB small GTPase (AtARFB1a)"	"soluble or peripheral protein"	"0"
"732"	"AT2G15420.1"	"At2g15420"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"733"	"AT2G15630.1"	"At2g15630"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"734"	"AT2G15680.1"	"At2g15680"	"putative calcium-binding calmodulin-like protein (AtCML1)"	"soluble or peripheral protein"	"0"
"735"	"AT2G15690.1"	"At2g15690"	"putative plastid and mitochondrion dually targeted mRNA editing factor (AtDYW2/AtBLX)"	"soluble or peripheral protein"	"0"
"736"	"AT2G15980.1"	"At2g15980"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"737"	"AT2G16018.1"	"At2g16018"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"738"	"AT2G16460.1"	"At2g16460"	"putative modulator of mitochondrial MCU channel activity (AtMCUR1/AtCoxX6)"	"membrane protein"	"1"
"739"	"AT2G16580.1"	"At2g16580"	"putative SAUR-type hormone signal effector (AtSAUR8)"	"soluble or peripheral protein"	"0"
"740"	"AT2G16710.1"	"At2g16710"	"putative component of mitochondrial IscA1-IscA2 iron-sulfur cluster assembly...(AtIscA1a)"	"soluble or peripheral protein"	"0"
"741"	"AT2G16810.1"	"At2g16810"	"putative F-BOX substrate adaptor of SCF ubiquitin protein ligase complex"	"soluble or peripheral protein"	"0"
"742"	"AT2G16870.1"	"At2g16870"	"putative TNL-type NLR pathogen effector recognition protein"	"soluble or peripheral protein"	"0"
"743"	"AT2G16880.1"	"At2g16880"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"744"	"AT2G16881.1"	"At2g16881"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"745"	"AT2G16930.1"	"At2g16930"	"putative component bL27M of large subunit of mitochondrial ribosome (AtmtRPL27)"	"soluble or peripheral protein"	"0"
"746"	"AT2G17130.1"	"At2g17130"	"putative regulatory component of NAD-dependent isocitrate dehydrogenase (AtIDH2)"	"soluble or peripheral protein"	"0"
"747"	"AT2G17140.1"	"At2g17140"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"748"	"AT2G17210.1"	"At2g17210"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"749"	"AT2G17270.1"	"At2g17270"	"phosphate transporter (AtPHT3;3/AtMPT1)"	"membrane protein"	"6"
"750"	"AT2G17380.1"	"At2g17380"	"putative sigma subunit of vesicle trafficking AP-1 adaptor complex (AtAP1S1)"	"soluble or peripheral protein"	"0"
"751"	"AT2G17442.1"	"At2g17442"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"752"	"AT2G17525.1"	"At2g17525"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"753"	"AT2G17556.1"	"At2g17556"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"754"	"AT2G17570.1"	"At2g17570"	"putative cis-prenyltransferase (AtCPT1)"	"soluble or peripheral protein"	"0"
"755"	"AT2G17580.1"	"At2g17580"	"putative RNA nucleotidyltransferase"	"soluble or peripheral protein"	"0"
"756"	"AT2G17650.1"	"At2g17650"	"putative AMP-dependent synthetase/ligase (AtAAE2)"	"soluble or peripheral protein"	"0"
"757"	"AT2G17680.1"	"At2g17680"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"758"	"AT2G17845.1"	"At2g17845"	"putative NAD/NADP-dependent oxidoreductase"	"soluble or peripheral protein"	"0"
"759"	"AT2G18010.1"	"At2g18010"	"putative SAUR-type hormone signal effector (AtSAUR10)"	"soluble or peripheral protein"	"0"
"760"	"AT2G18196.1"	"At2g18196"	"putative metallochaperone-like protein (AtHIPP30)"	"soluble or peripheral protein"	"0"
"761"	"AT2G18200.1"	"At2g18200"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"762"	"AT2G18210.1"	"At2g18210"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"763"	"AT2G18330.1"	"At2g18330"	"putative regulatory protein in organelle nucleoid organization (AtSBA3)"	"soluble or peripheral protein"	"0"
"764"	"AT2G18400.1"	"At2g18400"	"putative component uL6M of large subunit of mitochondrial ribosome (AtmtRPL6)"	"soluble or peripheral protein"	"0"
"765"	"AT2G18450.1"	"At2g18450"	"flavoprotein subunit of succinate dehydrogenase complex (AtSDH1-2)"	"soluble or peripheral protein"	"0"
"766"	"AT2G18465.1"	"At2g18465"	"putative Hsp40/DnaJ molecular chaperone (AtDjC82)"	"soluble or peripheral protein"	"0"
"767"	"AT2G18500.1"	"At2g18500"	"putative OVATE-type transcription repressor (AtOFP7)"	"soluble or peripheral protein"	"0"
"768"	"AT2G18520.1"	"At2g18520"	"putative component mL103 of large subunit of mitochondrial ribosome"	"soluble or peripheral protein"	"0"
"769"	"AT2G18890.1"	"At2g18890"	"putative RLCK-VI type Rop GTPase-interacting protein kinase (AtRLCK-VI_A2/AtRRK1)"	"soluble or peripheral protein"	"0"
"770"	"AT2G18969.1"	"At2g18969"	"putative atypical bHLH-type transcription factor (AtbHLH170)"	"soluble or peripheral protein"	"0"
"771"	"AT2G18970.1"	"At2g18970"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"772"	"AT2G19080.1"	"At2g19080"	"putative component of outer mitochondrial membrane SAM insertion...(AtMTX1/AtSAM37)"	"membrane protein"	"2"
"773"	"AT2G19146.1"	"At2g19146"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"774"	"AT2G19160.1"	"At2g19160"	"putative membrane protein of unknown function"	"membrane protein"	"2"
"775"	"AT2G19180.1"	"At2g19180"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"776"	"AT2G19280.1"	"At2g19280"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"777"	"AT2G19490.1"	"At2g19490"	"putative multifunctional RecA-like protein, involved in DNA repair and...(AtRecA2)"	"soluble or peripheral protein"	"0"
"778"	"AT2G19680.1"	"At2g19680"	"putative subunit g/ATP20 of ATP synthase membrane MF0 subcomplex (AtmtATP-g2)"	"membrane protein"	"1"
"779"	"AT2G19790.1"	"At2g19790"	"putative sigma subunit of vesicle trafficking AP-4 adaptor complex (AtAP4S)"	"soluble or peripheral protein"	"0"
"780"	"AT2G19860.1"	"At2g19860"	"glucose-responsive sensor hexokinase (AtHXK2)"	"membrane protein"	"2"
"781"	"AT2G20060.1"	"At2g20060"	"putative component uL4M of large subunit of mitochondrial ribosome (AtmtRPL4)"	"soluble or peripheral protein"	"0"
"782"	"AT2G20360.1"	"At2g20360"	"putative 39kDa component of NADH dehydrogenase alpha subcomplex (AtNDUFA9)"	"soluble or peripheral protein"	"0"
"783"	"AT2G20390.1"	"At2g20390"	"protein of unknown function"	"membrane protein"	"1"
"784"	"AT2G20410.1"	"At2g20410"	"protein of unknown function, contains ASCH-type domain"	"soluble or peripheral protein"	"0"
"785"	"AT2G20420.1"	"At2g20420"	"putative beta subunit of succinyl-CoA synthetase"	"soluble or peripheral protein"	"0"
"786"	"AT2G20500.1"	"At2g20500"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"787"	"AT2G20510.1"	"At2g20510"	"mitochondrial inner membrane translocase component (AtTIM44-1)"	"membrane protein"	"0"
"788"	"AT2G20530.1"	"At2g20530"	"putative type-II (yeast Prohibitin)-like chaperone protein (AtPHB6)"	"soluble or peripheral protein"	"0"
"789"	"AT2G20540.1"	"At2g20540"	"putative mitochondrial cox3 mRNA editing factor (AtMEF21)"	"soluble or peripheral protein"	"0"
"790"	"AT2G20585.1"	"At2g20585"	"protein of unknown function (AtNFD6)"	"soluble or peripheral protein"	"0"
"791"	"AT2G20710.1"	"At2g20710"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"792"	"AT2G20800.1"	"At2g20800"	"putative alternative NADPH/NADH-dependent dehydrogenase (AtNDB4)"	"soluble or peripheral protein"	"0"
"793"	"AT2G20805.1"	"At2g20805"	"putative GeBP-type transcription factor"	"soluble or peripheral protein"	"0"
"794"	"AT2G20820.1"	"At2g20820"	"protein of unknown function"	"membrane protein"	"1"
